"","X420.585","X447.522","X460.559","X505.602","X530.457","X679.455","PerFvFm","PerSig","PerTau1","PerTau2"
"cu70",-91.4245706986262,-93.0887011651008,-93.1731867952635,-93.4209720721716,-95.0136647229804,-92.1860194065486,-40.7025794565304,-8.31542674898916,13.0773282849567,104.841369709032
"Ac62",-66.9612358492347,-66.766356033937,-65.8831228745089,-67.7012066332508,-72.0553741212096,-65.0219420695847,-12.6856046148108,17.7233745542109,-10.3628957165061,15.9825390057911
"Ac50",-58.3444488086931,-59.2495929691448,-58.2990971576639,-61.2763691277295,-64.9519687377103,-50.9227628802235,-14.6199468550077,-20.3364921752287,-25.9899509388436,32.2524494470708
"Ac41",-84.0577393949211,-87.1970858930483,-86.3448797707555,-87.8989884291648,-89.9923216825201,-87.454146002152,-25.113609841271,20.4197249874907,-2.63180397517548,31.7829838406441
"Ac7",-80.0257376506072,-81.8713360834678,-80.9435499297549,-82.6711592722103,-85.0327926762835,-77.1571771549205,-21.9253716495813,-20.69386989409,-35.9627440902828,25.844588355476
"Ac31",-48.5428769066502,-48.8501157834406,-48.6414626937429,-49.3951089772779,-52.9728059266234,-25.6290698828227,9.01897709664016,-4.26489216493964,-19.0909141768492,-26.0694480452123
"cu12",-79.731172828193,-82.5963025278199,-82.8221750549443,-82.461080806574,-85.0215928162753,-84.962658254942,-41.8913264634831,42.2110257747181,-23.7627336822814,74.8431245080327
"cu80",-65.6314129654565,-66.4960009883254,-65.7880124245469,-68.844040660336,-72.2384989718024,-69.4190986289482,-5.48877395546935,22.6632540544949,-11.34953929311,-8.68024135864353
"cu76",-76.84734764793,-80.1764819180362,-79.1720859162796,-82.0195315846584,-85.1719087760524,-82.7896398292798,8.05650267975893,-8.15614645343291,1.48644221413314,12.3598080113366
"cu19",-31.3057680829113,-31.6116835361096,-31.082706274749,-37.0002474507248,-41.8460005528895,-40.7231745727567,28.2173225905018,-23.6532446282415,-18.5801952145091,-23.9211509513307
"Ap20",-45.4049230667226,-45.7522911358488,-45.7633049056433,-51.9042676694196,-57.2308512787557,-46.7872300498286,-2.44499104700705,-1.72484786183899,9.45076913405892,-36.4322944550695
"Ap14",-18.3354464913811,-19.2272197954328,-19.8387825005124,-18.0497440609255,-23.2269287944725,-5.16372046397532,-15.47601710104,15.9322677063482,28.0599748097959,67.2258407356302
"Ap24",-15.8007341892131,-16.3023449001914,-16.7142256622001,-19.7141434321393,-21.4834755713191,-2.25657678784198,-11.9195644248638,-5.64691854082581,-14.6795299234284,29.4334732751373
"Ap5",-30.155735202068,-30.2578696321458,-30.6537586159147,-34.7012621061579,-36.2711665435615,-32.2266452989735,-17.1907413806013,10.2021341017914,21.7617765665601,81.9104629172208
"Ap19",-33.185241984775,-33.4822664014432,-32.375569152618,-33.9335130538424,-36.6518368784781,-22.3199723815682,-15.9955484153564,-12.2527434475158,5.58143312759812,26.6947698779429
"Ap22",-10.8533204229472,-11.4447860143857,-12.5476218754254,-14.7325275034478,-18.2031026956118,-3.11064766704052,1.08580305438558,-21.0228178156335,-27.052446192052,0.447559063072976
