"","fracA","fracB","fracC","fracD"
"Sint-6-1",0.01,0,0.985,0.004
"Sint-6-2",0.006,0,0.992,0.002
"Sint-6-3",0.004,0,0.995,0.001
"Sint-6-4",0.007,0,0.991,0.002
"Sint-6-5",0.012,0,0.986,0.001
"Sint-1-1",0,0,0.999,0.001
"Mcav-11-1",0,0,1,0
"Mcav-11-2",0,0,1,0
"Mcav-11-3",0,0,1,0
"Mcav-11-4",0,0,1,0
"Mcav-11-5",0,0,1,0
"Mcav-4-1",0.501,0.499,0,0
"Mcav-33-1",0,0,1,0
"Mcav-34-1",0.001,0,0.999,0
"Mcav-1-1",0,0,1,0
"Mcav-56-1",0,0,1,0
"Mcav-57-1",0.001,0,0.999,0
"Mcav-58-1",0,0,1,0
"Mcav-59-1",0,0,1,0
"Mcav-60-1",0,0,1,0
"Mcav-61-1",0,0,1,0
"Ofav-52-1",0,0.009,0,0.99
"Ofav-51-1",0.005,0,0,0.995
"Ofav-483-1",0.001,0,0,0.999
"Ofav-575-1",0.001,0,0,0.999
"Ofav-1-1",0,0,0,1
"Ofav-57-1",0.007,0,0,0.993
"Ofav-58-1",0.001,0,0,0.999
"Ofav-132-1",0,0,0,1
"Ofav-61-1",0.001,0,0,0.999
"Ofav-56-1",0,0,0,1
"Ofav-56-2",0,0,0,1
"Ofav-56-3",0.001,0,0,0.999
"Ofav-56-4",0.002,0,0,0.998
"Ofav-56-5",0.002,0,0,0.998
"Apal-58-1",0,0,0,1
"Apal-24-1",0.004,0,0,0.996
"Apal-33-1",0,0,0,1
"Apal-68-1",0.001,0.003,0,0.996
"Apal-85-1",0.001,0,0.002,0.997
"Apal-8-1",0,0,0.711,0.289
"Apal-58-2",0,0,0,1
"Apal-13-1",0,0,0.978,0.022
"Apal-14-1",0,0,0,1
"Apal-7-1",0,0,0,1
"Apal-5-1",0.001,0,0,0.999
"Apal-58-3",0.001,0,0,0.999
"Apal-20-1",0.001,0,0.027,0.972
"Apal-58-4",0,0,0,0.999
"Apal-58-5",0.001,0,0,0.998
"Pcliv-5-1",0,1,0,0
"Pcliv-3-1",0.002,0.997,0,0.001
"Pcliv-1-1",0,1,0,0
"Pcliv-2-1",0,0.997,0,0.003
"Pcliv-7-1",0,1,0,0
"Pcliv-8-1",0.001,0.999,0,0
"Pcliv-9-1",0,1,0,0
"Pcliv-12-1",0,1,0,0
"Pcliv-14-1",0.001,0.999,0,0
"Pcliv-17-1",0.003,0.962,0,0.035
"Pcliv-17-2",0,1,0,0
"Pcliv-17-3",0.001,0.974,0,0.025
"Pcliv-17-4",0,1,0,0
"Pcliv-17-5",0,0.996,0,0.003
"Ssid-1-1",0,0.001,0,0.998
"Ssid-2-1",0,0,0,1
"Ssid-6-1",0.001,0,0,0.999
"Ssid-7-1",0.003,0,0,0.997
"Ssid-8-1",0,0,0,1
"Ssid-9-1",0.003,0,0.083,0.914
"Ssid-11-1",0.035,0,0,0.965
"Ssid-12-1",0.01,0,0,0.99
"Ssid-19-1",0,0,0,1
"Ssid-20-1",0,0,0,1
"Ssid-16-1",0.001,0,0,0.999
"Ssid-16-2",0.001,0,0,0.999
"Ssid-16-3",0,0,0,1
"Pstr-1-1",0.002,0,0,0.998
"Pstr-1-2",0.001,0.015,0,0.984
"Pstr-1-3",0.012,0,0,0.988
"Pstr-1-4",0.002,0,0,0.998
"Pstr-1-5",0.006,0,0,0.994
"Pstr-2-1",0,0,0,1
"Pstr-3-1",0,0,0,1
"Pstr-4-1",0,0,0,1
"Pstr-5-1",0.002,0,0,0.998
"Pstr-6-1",0.004,0,0,0.996
"Pstr-7-1",0.002,0,0,0.998
"Pstr-8-1",0.003,0,0,0.997
"Pstr-9-1",0,0,0,1
"Pstr-10-1",0.003,0,0,0.997
